id,student_id,student_name,question_topic,question_style,error_style,start_time,submit_time,difficulty,score,time_consumed,memory,time_region,student_group
1,20265580,林秀英,字符串,填空题,计算错误,2026-03-16 20:45:43,2026-03-16 20:50:03,困难,0,260,694,晚上,高绩效
2,20265580,林秀英,动态规划(DP),填空题,答案正确,2026-06-14 15:21:44,2026-06-14 15:23:01,中等,5,77,483,下午,高绩效
3,20265580,林秀英,回溯算法,填空题,答案正确,2026-04-30 07:53:04,2026-04-30 07:57:49,困难,5,285,903,早上,高绩效
4,20265580,林秀英,树,编程题,答案正确,2026-03-08 07:23:04,2026-03-08 07:33:39,困难,15,635,623,早上,高绩效
5,20265580,林秀英,顺序表,填空题,答案正确,2026-04-30 17:29:58,2026-04-30 17:30:16,简单,5,18,316,下午,高绩效
6,20265580,林秀英,查找,选择题,答案正确,2026-05-19 09:47:27,2026-05-19 09:49:01,中等,5,94,535,早上,高绩效
7,20265580,林秀英,队列,编程题,部分正确,2026-05-15 16:33:01,2026-05-15 16:37:37,中等,6,276,946,下午,高绩效
8,20265580,林秀英,双指针,编程题,答案正确,2026-05-17 20:36:36,2026-05-17 20:41:50,简单,15,314,679,晚上,高绩效
9,20265580,林秀英,回溯算法,解答题,答案正确,2026-05-24 11:27:37,2026-05-24 11:31:46,简单,10,249,618,中午,高绩效
10,20265580,林秀英,哈希表,编程题,答案正确,2026-04-22 01:55:02,2026-04-22 02:01:18,中等,15,376,785,凌晨,高绩效
11,20265580,林秀英,堆,解答题,答案正确,2026-03-20 21:06:33,2026-03-20 21:11:51,中等,10,318,832,晚上,高绩效
12,20265580,林秀英,双指针,编程题,部分正确,2026-02-23 15:36:00,2026-02-23 15:39:12,简单,11,192,718,下午,高绩效
13,20265580,林秀英,查找,解答题,部分正确,2026-02-01 00:40:42,2026-02-01 00:43:39,简单,6,177,813,凌晨,高绩效
14,20265580,林秀英,位运算,判断题,答案正确,2026-03-08 17:31:07,2026-03-08 17:32:12,中等,2,65,433,下午,高绩效
15,20265580,林秀英,顺序表,填空题,答案正确,2026-02-16 07:43:36,2026-02-16 07:48:12,困难,5,276,632,早上,高绩效
16,20265580,林秀英,位运算,填空题,答案正确,2026-06-24 12:01:43,2026-06-24 12:02:27,简单,5,44,366,中午,高绩效
17,20265580,林秀英,顺序表,解答题,审题错误,2026-05-28 06:21:13,2026-05-28 06:32:04,困难,0,651,695,早上,高绩效
18,20265580,林秀英,查找,解答题,答案正确,2026-05-18 13:40:20,2026-05-18 13:45:03,简单,10,283,779,中午,高绩效
19,20265580,林秀英,栈,编程题,部分正确,2026-01-26 14:16:58,2026-01-26 14:20:08,简单,9,190,863,下午,高绩效
20,20265580,林秀英,链表,选择题,答案正确,2026-06-28 10:34:33,2026-06-28 10:35:03,简单,5,30,146,早上,高绩效
21,20265580,林秀英,查找,填空题,答案正确,2026-07-01 09:30:54,2026-07-01 09:31:17,简单,5,23,255,早上,高绩效
22,20265580,林秀英,双指针,选择题,答案正确,2026-03-19 03:25:53,2026-03-19 03:28:06,困难,5,133,895,凌晨,高绩效
23,20265580,林秀英,树,编程题,部分正确,2026-03-01 07:04:06,2026-03-01 07:11:41,中等,6,455,723,早上,高绩效
24,20265580,林秀英,堆,编程题,答案正确,2026-05-13 04:52:02,2026-05-13 04:58:29,中等,15,387,768,凌晨,高绩效
25,20265580,林秀英,贪心,判断题,答案正确,2026-05-09 02:32:00,2026-05-09 02:35:06,困难,2,186,606,凌晨,高绩效
26,20265580,林秀英,链表,选择题,答案正确,2026-05-14 08:52:11,2026-05-14 08:52:45,简单,5,34,101,早上,高绩效
27,20265580,林秀英,广度优先搜索(BFS),编程题,部分正确,2026-06-21 01:52:28,2026-06-21 01:56:28,简单,10,240,669,凌晨,高绩效
28,20265580,林秀英,贪心,判断题,答案正确,2026-04-18 12:00:44,2026-04-18 12:04:08,困难,2,204,695,中午,高绩效
29,20265580,林秀英,图,填空题,答案正确,2026-04-18 19:43:41,2026-04-18 19:44:43,中等,5,62,561,晚上,高绩效
30,20265580,林秀英,动态规划(DP),填空题,答案正确,2026-06-07 21:22:10,2026-06-07 21:23:18,中等,5,68,561,晚上,高绩效
31,20265580,林秀英,双指针,判断题,答案正确,2026-07-08 12:05:36,2026-07-08 12:07:17,中等,2,101,481,中午,高绩效
32,20265580,林秀英,深度优先搜索(DFS),填空题,答案正确,2026-06-15 21:31:32,2026-06-15 21:33:23,中等,5,111,597,晚上,高绩效
33,20265580,林秀英,字符串,编程题,答案正确,2026-03-21 23:20:40,2026-03-21 23:24:34,简单,15,234,999,晚上,高绩效
34,20265580,林秀英,树,解答题,答案正确,2026-04-13 02:35:15,2026-04-13 02:39:35,中等,10,260,884,凌晨,高绩效
35,20265580,林秀英,树,选择题,答案正确,2026-05-26 17:57:23,2026-05-26 17:58:46,中等,5,83,462,下午,高绩效
36,20265580,林秀英,树,解答题,答案正确,2026-06-14 13:24:19,2026-06-14 13:28:27,中等,10,248,798,中午,高绩效
37,20265580,林秀英,顺序表,判断题,答案正确,2026-02-16 02:43:04,2026-02-16 02:44:04,中等,2,60,534,凌晨,高绩效
38,20265580,林秀英,顺序表,填空题,答案正确,2026-04-24 22:26:34,2026-04-24 22:26:57,简单,5,23,325,晚上,高绩效
39,20265580,林秀英,深度优先搜索(DFS),编程题,答案正确,2026-03-31 13:26:24,2026-03-31 13:29:24,简单,15,180,838,中午,高绩效
40,20265580,林秀英,堆,解答题,答案正确,2026-04-11 14:36:57,2026-04-11 14:41:45,中等,10,288,620,下午,高绩效
41,20265580,林秀英,队列,编程题,答案正确,2026-03-23 00:01:19,2026-03-23 00:09:12,中等,15,473,808,凌晨,高绩效
42,20265580,林秀英,树,编程题,答案正确,2026-06-23 00:21:08,2026-06-23 00:30:56,困难,15,588,794,凌晨,高绩效
43,20265580,林秀英,广度优先搜索(BFS),编程题,答案正确,2026-02-01 09:55:48,2026-02-01 10:01:04,简单,15,316,979,早上,高绩效
44,20265580,林秀英,哈希表,编程题,答案正确,2026-03-24 08:00:23,2026-03-24 08:07:23,中等,15,420,760,早上,高绩效
45,20265580,林秀英,位运算,选择题,答案正确,2026-05-12 16:05:54,2026-05-12 16:08:03,困难,5,129,658,下午,高绩效
46,20265580,林秀英,字符串匹配(KMP),填空题,答案正确,2026-06-12 03:05:53,2026-06-12 03:06:02,简单,5,9,183,凌晨,高绩效
47,20265580,林秀英,树,编程题,审题错误,2026-05-04 14:31:29,2026-05-04 14:35:35,中等,0,246,883,下午,高绩效
